                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.74269,                0.41282,                0.92816,                0.99563,                      1,                  0.995,                0.92727,                0.37096,                0.29003,                0.94158,              0.0011056,              0.0011056,              0.0011056
                     38,                0.73242,                0.41312,                0.93607,                0.85095,                      1,                0.89015,                0.81973,                0.41596,                0.68464,                0.95823,              0.0011015,              0.0011015,              0.0011015
                     39,                 0.6918,                0.40073,                0.91763,                0.99083,                      1,                  0.995,                0.92083,                0.39654,                0.32365,                0.94834,              0.0010974,              0.0010974,              0.0010974
                     40,                0.69887,                0.40247,                0.91265,                  0.965,                      1,                  0.995,                0.92339,                0.39171,                0.32578,                0.93531,              0.0010933,              0.0010933,              0.0010933
                     41,                0.67871,                0.38904,                0.91129,                0.98238,                      1,                  0.995,                0.94153,                 0.3306,                0.31524,                0.93208,              0.0010891,              0.0010891,              0.0010891
                     42,                0.67605,                0.38438,                0.91777,                0.99707,                      1,                  0.995,                0.94463,                0.33425,                0.27244,                0.92711,               0.001085,               0.001085,               0.001085
                     43,                0.69626,                0.38236,                0.92772,                 0.9932,                      1,                  0.995,                0.93629,                0.36431,                0.30041,                0.93873,              0.0010809,              0.0010809,              0.0010809
                     44,                0.67249,                0.38913,                0.90991,                 0.8468,                      1,                0.86233,                0.78997,                0.45215,                0.85216,                0.94875,              0.0010768,              0.0010768,              0.0010768
                     45,                0.65748,                0.38742,                0.89021,                0.99402,                      1,                  0.995,                0.94293,                0.37954,                0.27105,                0.93602,              0.0010726,              0.0010726,              0.0010726
                     46,                0.67535,                0.38892,                0.90439,                 0.7986,                      1,                0.80919,                0.75797,                0.34448,                 1.3662,                0.94547,              0.0010685,              0.0010685,              0.0010685
                     47,                0.67061,                 0.3801,                 0.9012,                0.78383,                      1,                0.78438,                0.72911,                0.37947,                 3.6409,                0.96034,              0.0010644,              0.0010644,              0.0010644
                     48,                0.66902,                0.37538,                0.91353,                0.81349,                      1,                0.81781,                0.77178,                0.36029,                 1.5125,                0.95397,              0.0010603,              0.0010603,              0.0010603
                     49,                0.63689,                0.35888,                0.90434,                0.98004,                      1,                  0.995,                0.92447,                0.35867,                0.28095,                0.93147,              0.0010561,              0.0010561,              0.0010561
                     50,                0.65593,                0.37149,                0.90141,                 0.7927,                      1,                0.79207,                0.74544,                0.33902,                 2.7796,                0.93046,               0.001052,               0.001052,               0.001052
                     51,                0.66662,                0.37753,                0.90093,                0.96966,                      1,                  0.995,                0.92586,                0.39981,                0.33234,                0.93524,              0.0010479,              0.0010479,              0.0010479
                     52,                0.66073,                0.36876,                0.91989,                0.80544,                      1,                0.80919,                0.76296,                0.32336,                 2.2063,                0.93413,              0.0010438,              0.0010438,              0.0010438
