                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                 0.4502,                0.26539,                0.84555,                 0.9977,                      1,                  0.995,                0.97604,                 0.2181,                0.17997,                0.91291,              0.0006065,              0.0006065,              0.0006065
                    159,                0.45845,                0.26933,                 0.8484,                0.99839,                      1,                  0.995,                0.97389,                0.22719,                0.19538,                0.90972,             0.00060238,             0.00060238,             0.00060238
                    160,                0.44306,                0.25787,                0.83322,                0.99842,                      1,                  0.995,                0.97588,                0.23492,                0.17989,                0.90671,             0.00059825,             0.00059825,             0.00059825
                    161,                0.44495,                0.25996,                0.83496,                0.99781,                      1,                  0.995,                0.98824,                 0.2084,                0.15662,                0.90493,             0.00059413,             0.00059413,             0.00059413
                    162,                0.43811,                0.25939,                0.83865,                 0.9981,                      1,                  0.995,                0.97359,                0.19574,                0.16113,                0.90476,                0.00059,                0.00059,                0.00059
                    163,                0.43707,                0.25899,                 0.8443,                 0.9964,                      1,                  0.995,                0.98116,                0.19048,                0.16936,                0.90236,             0.00058588,             0.00058588,             0.00058588
                    164,                0.44518,                0.25957,                 0.8348,                0.99645,                      1,                  0.995,                0.98743,                0.18861,                0.16148,                0.90319,             0.00058175,             0.00058175,             0.00058175
                    165,                0.44044,                0.26446,                 0.8346,                0.99807,                      1,                  0.995,                0.98121,                0.19224,                0.15304,                0.90323,             0.00057763,             0.00057763,             0.00057763
                    166,                0.42368,                0.25354,                 0.8295,                0.99706,                      1,                  0.995,                0.98803,                0.19021,                0.16284,                0.90581,              0.0005735,              0.0005735,              0.0005735
                    167,                0.45623,                0.26412,                0.83523,                 0.9975,                      1,                  0.995,                0.99029,                0.20536,                0.19501,                0.90382,             0.00056938,             0.00056938,             0.00056938
                    168,                0.43761,                0.27057,                0.83188,                0.99666,                      1,                  0.995,                0.98305,                0.19153,                  0.161,                0.90254,             0.00056525,             0.00056525,             0.00056525
                    169,                0.42669,                0.25555,                0.82842,                0.99768,                      1,                  0.995,                0.97024,                0.22635,                0.18884,                0.90998,             0.00056112,             0.00056112,             0.00056112
                    170,                0.43697,                0.26121,                0.83549,                0.99876,                      1,                  0.995,                0.99342,                0.18744,                0.17364,                0.90347,               0.000557,               0.000557,               0.000557
                    171,                0.41507,                0.24948,                0.83246,                0.99647,                      1,                  0.995,                0.97984,                0.19671,                0.17568,                0.90479,             0.00055287,             0.00055287,             0.00055287
                    172,                0.41662,                0.25456,                0.81972,                0.99794,                      1,                  0.995,                0.98762,                 0.2018,                0.15957,                0.90806,             0.00054875,             0.00054875,             0.00054875
                    173,                0.45332,                0.26136,                0.82884,                0.99849,                      1,                  0.995,                 0.9787,                0.25277,                0.19342,                0.90839,             0.00054463,             0.00054463,             0.00054463
                    174,                 0.4116,                0.24715,                0.83144,                0.99821,                      1,                  0.995,                0.99017,                0.18958,                0.16953,                0.90478,              0.0005405,              0.0005405,              0.0005405
                    175,                0.41221,                0.24773,                0.82445,                0.99767,                      1,                  0.995,                0.97912,                0.21581,                0.18607,                0.90398,             0.00053638,             0.00053638,             0.00053638
                    176,                0.41987,                0.25442,                0.83343,                0.99769,                      1,                  0.995,                0.98255,                0.20644,                0.14018,                0.91029,             0.00053225,             0.00053225,             0.00053225
                    177,                0.41645,                0.24931,                0.83566,                0.99789,                      1,                  0.995,                0.99235,                0.20264,                 0.1609,                0.91369,             0.00052812,             0.00052812,             0.00052812
                    178,                0.40538,                0.24806,                0.82983,                0.99721,                      1,                  0.995,                0.99162,                0.19754,                0.14919,                0.90953,               0.000524,               0.000524,               0.000524
                    179,                0.42409,                 0.2587,                0.83328,                0.99623,                      1,                  0.995,                 0.9882,                0.23033,                0.17736,                0.90964,             0.00051988,             0.00051988,             0.00051988
                    180,                0.42854,                0.25292,                0.84478,                0.99736,                      1,                  0.995,                0.99216,                0.21597,                0.17625,                0.90788,             0.00051575,             0.00051575,             0.00051575
                    181,                0.43728,                0.25256,                0.83881,                0.99646,                      1,                  0.995,                0.97547,                 0.2358,                0.17436,                0.90664,             0.00051163,             0.00051163,             0.00051163
                    182,                  0.405,                0.23873,                0.82934,                0.99886,                      1,                  0.995,                0.97002,                0.22121,                 0.1704,                0.91767,              0.0005075,              0.0005075,              0.0005075
                    183,                0.42809,                0.24696,                0.83675,                0.99871,                      1,                  0.995,                 0.9784,                0.22044,                0.16953,                0.91244,             0.00050337,             0.00050337,             0.00050337
                    184,                0.41361,                0.25736,                0.82902,                 0.9975,                      1,                  0.995,                 0.9783,                0.19743,                0.17198,                0.90176,             0.00049925,             0.00049925,             0.00049925
                    185,                 0.4087,                0.24922,                0.82385,                0.99548,                      1,                  0.995,                0.98085,                0.21701,                0.18843,                0.90472,             0.00049513,             0.00049513,             0.00049513
                    186,                0.43869,                0.25607,                0.83191,                 0.9971,                      1,                  0.995,                 0.9919,                0.19338,                 0.1837,                0.90132,               0.000491,               0.000491,               0.000491
                    187,                0.44065,                 0.2608,                0.84791,                0.99697,                      1,                  0.995,                0.98389,                0.21487,                0.17223,                0.90803,             0.00048687,             0.00048687,             0.00048687
                    188,                0.42296,                0.25494,                0.82582,                0.99809,                      1,                  0.995,                0.98669,                0.19534,                0.17433,                0.90776,             0.00048275,             0.00048275,             0.00048275
                    189,                0.38046,                0.23553,                0.83083,                0.99776,                      1,                  0.995,                0.97026,                0.22585,                0.17196,                0.90699,             0.00047863,             0.00047863,             0.00047863
                    190,                0.42181,                0.24933,                0.83407,                0.99943,                      1,                  0.995,                0.97124,                0.19984,                0.17817,                0.90103,              0.0004745,              0.0004745,              0.0004745
                    191,                0.40556,                0.24361,                0.83029,                0.99772,                      1,                  0.995,                0.98078,                0.19235,                0.14538,                0.89962,             0.00047038,             0.00047038,             0.00047038
                    192,                0.40135,                0.24249,                0.82676,                0.99845,                      1,                  0.995,                0.98322,                0.18725,                  0.152,                0.90075,             0.00046625,             0.00046625,             0.00046625
                    193,                0.40252,                0.24011,                0.82712,                0.99761,                      1,                  0.995,                0.99189,                0.17235,                0.14601,                0.90085,             0.00046212,             0.00046212,             0.00046212
                    194,                0.39656,                0.23752,                0.82158,                 0.9986,                      1,                  0.995,                0.99357,                 0.1736,                0.13892,                0.90274,               0.000458,               0.000458,               0.000458
                    195,                0.40144,                0.24072,                0.83115,                0.99932,                      1,                  0.995,                 0.9937,                0.17175,                0.14851,                0.89999,             0.00045388,             0.00045388,             0.00045388
                    196,                0.41832,                0.24765,                0.82851,                0.99944,                      1,                  0.995,                 0.9824,                0.17718,                0.14679,                0.90102,             0.00044975,             0.00044975,             0.00044975
                    197,                0.39258,                0.23985,                0.81444,                0.99945,                      1,                  0.995,                 0.9793,                0.18013,                0.16367,                 0.9017,             0.00044563,             0.00044563,             0.00044563
                    198,                0.40185,                0.24153,                0.82961,                0.99944,                      1,                  0.995,                0.98239,                0.18445,                0.14735,                0.90174,              0.0004415,              0.0004415,              0.0004415
                    199,                0.41452,                0.24652,                0.82557,                0.99722,                      1,                  0.995,                0.97824,                0.19268,                0.16151,                0.90271,             0.00043738,             0.00043738,             0.00043738
                    200,                0.40055,                0.24507,                 0.8286,                0.99939,                      1,                  0.995,                0.97531,                0.19146,                0.16255,                0.90302,             0.00043325,             0.00043325,             0.00043325
                    201,                0.38903,                0.23625,                0.82144,                0.99759,                      1,                  0.995,                0.98978,                0.16258,                0.14458,                0.90038,             0.00042912,             0.00042912,             0.00042912
                    202,                0.38389,                0.23124,                0.82691,                0.99839,                      1,                  0.995,                0.98928,                0.17446,                 0.1403,                 0.9006,               0.000425,               0.000425,               0.000425
                    203,                0.39802,                0.23593,                0.82726,                0.99734,                      1,                  0.995,                0.99056,                0.17209,                0.13825,                0.90356,             0.00042087,             0.00042087,             0.00042087
                    204,                0.40007,                0.24064,                0.83571,                0.99672,                      1,                  0.995,                0.98204,                0.16284,                0.14089,                0.89788,             0.00041675,             0.00041675,             0.00041675
                    205,                0.40139,                0.23583,                0.82244,                 0.9968,                      1,                  0.995,                 0.9904,                0.17022,                0.14766,                0.90261,             0.00041263,             0.00041263,             0.00041263
                    206,                0.39187,                0.23448,                0.83089,                0.99721,                      1,                  0.995,                0.98848,                0.16386,                0.14116,                0.89744,              0.0004085,              0.0004085,              0.0004085
                    207,                0.39444,                0.23757,                0.82381,                0.99714,                      1,                  0.995,                0.98448,                0.17286,                0.16295,                 0.9004,             0.00040438,             0.00040438,             0.00040438
                    208,                0.37601,                0.23539,                0.81586,                0.99944,                      1,                  0.995,                0.98523,                0.16914,                0.14402,                0.90088,             0.00040025,             0.00040025,             0.00040025
                    209,                0.39777,                0.24186,                0.81727,                0.99836,                      1,                  0.995,                0.98608,                0.15442,                0.15077,                0.89706,             0.00039613,             0.00039613,             0.00039613
                    210,                0.35933,                0.22173,                0.80774,                0.99854,                      1,                  0.995,                0.99238,                0.15456,                0.13205,                0.89668,               0.000392,               0.000392,               0.000392
                    211,                0.38144,                 0.2339,                0.81927,                0.99944,                      1,                  0.995,                0.99192,                0.15912,                 0.1306,                0.89734,             0.00038788,             0.00038788,             0.00038788
                    212,                0.40074,                0.24326,                0.83899,                0.99735,                      1,                  0.995,                0.98363,                0.16587,                0.14808,                0.89973,             0.00038375,             0.00038375,             0.00038375
                    213,                0.36433,                0.22391,                0.81195,                0.99755,                      1,                  0.995,                0.98547,                 0.1574,                0.13236,                0.89765,             0.00037962,             0.00037962,             0.00037962
                    214,                0.36826,                0.22584,                0.82451,                0.99766,                      1,                  0.995,                  0.995,                0.16249,                0.12856,                0.89961,              0.0003755,              0.0003755,              0.0003755
                    215,                0.37329,                0.22583,                0.82848,                0.99792,                      1,                  0.995,                0.98851,                0.18177,                0.13663,                0.89825,             0.00037138,             0.00037138,             0.00037138
                    216,                0.39029,                0.23131,                0.82304,                 0.9987,                      1,                  0.995,                0.98261,                0.18547,                0.14157,                0.90117,             0.00036725,             0.00036725,             0.00036725
                    217,                0.36897,                0.22352,                0.81878,                0.99789,                      1,                  0.995,                0.99235,                0.15109,                0.11461,                0.89905,             0.00036313,             0.00036313,             0.00036313
                    218,                 0.3645,                0.22576,                0.82379,                0.99754,                      1,                  0.995,                0.98355,                0.16552,                0.13243,                0.89939,               0.000359,               0.000359,               0.000359
                    219,                0.38311,                 0.2263,                0.82545,                0.99809,                      1,                  0.995,                0.98109,                0.16902,                0.15285,                 0.8996,             0.00035487,             0.00035487,             0.00035487
                    220,                0.38043,                0.23351,                0.83775,                0.99945,                      1,                  0.995,                0.98448,                0.16753,                0.14762,                0.89836,             0.00035075,             0.00035075,             0.00035075
                    221,                0.37212,                0.22483,                0.81968,                0.99944,                      1,                  0.995,                0.99162,                0.16848,                0.14924,                0.89947,             0.00034663,             0.00034663,             0.00034663
                    222,                0.36977,                0.22548,                0.81406,                0.99943,                      1,                  0.995,                0.99186,                0.14404,                0.13568,                0.89553,              0.0003425,              0.0003425,              0.0003425
                    223,                0.37396,                 0.2254,                0.82228,                0.99938,                      1,                  0.995,                 0.9855,                0.15303,                0.13395,                0.89716,             0.00033838,             0.00033838,             0.00033838
                    224,                0.36599,                0.22674,                0.81514,                0.99943,                      1,                  0.995,                0.99213,                0.14574,                 0.1224,                0.89664,             0.00033425,             0.00033425,             0.00033425
                    225,                0.37247,                0.22851,                0.82888,                0.99855,                      1,                  0.995,                0.98995,                0.15911,                0.13998,                0.89708,             0.00033013,             0.00033013,             0.00033013
                    226,                0.38495,                0.23356,                0.82714,                0.99759,                      1,                  0.995,                0.98934,                0.15203,                0.13404,                0.89725,               0.000326,               0.000326,               0.000326
                    227,                0.38789,                0.23501,                0.82664,                0.99766,                      1,                  0.995,                0.99243,                0.16797,                0.14021,                0.89742,             0.00032188,             0.00032188,             0.00032188
                    228,                0.38093,                0.22728,                0.81172,                0.99736,                      1,                  0.995,                0.99195,                0.15407,                0.14049,                 0.8969,             0.00031775,             0.00031775,             0.00031775
                    229,                0.37316,                0.22163,                0.81714,                0.99839,                      1,                  0.995,                 0.9883,                0.16114,                  0.138,                0.89928,             0.00031362,             0.00031362,             0.00031362
                    230,                0.35775,                0.22124,                0.82136,                0.99867,                      1,                  0.995,                0.99063,                0.16995,                0.14091,                0.89618,              0.0003095,              0.0003095,              0.0003095
                    231,                0.34638,                0.21383,                0.81107,                0.99791,                      1,                  0.995,                0.98442,                0.15813,                0.14137,                 0.8971,             0.00030538,             0.00030538,             0.00030538
                    232,                0.36388,                0.21537,                0.81622,                0.99862,                      1,                  0.995,                0.99217,                0.14861,                0.13065,                0.89456,             0.00030125,             0.00030125,             0.00030125
                    233,                0.37423,                0.22511,                0.82138,                0.99893,                      1,                  0.995,                0.98235,                0.17148,                0.14371,                0.89681,             0.00029713,             0.00029713,             0.00029713
                    234,                0.35391,                0.21606,                 0.8239,                0.99845,                      1,                  0.995,                 0.9936,                0.14907,                0.13109,                0.89711,               0.000293,               0.000293,               0.000293
                    235,                0.36045,                0.21794,                 0.8302,                 0.9981,                      1,                  0.995,                0.97712,                 0.1669,                0.15863,                0.89925,             0.00028888,             0.00028888,             0.00028888
                    236,                0.37197,                0.22545,                0.82459,                      1,                      1,                  0.995,                0.98021,                0.16245,                0.13752,                0.89798,             0.00028475,             0.00028475,             0.00028475
                    237,                0.37008,                0.21889,                0.82747,                0.99838,                      1,                  0.995,                0.99068,                0.14827,                0.11871,                0.89863,             0.00028063,             0.00028063,             0.00028063
                    238,                0.36425,                0.22487,                0.81757,                0.99945,                      1,                  0.995,                0.99247,                0.14865,                 0.1201,                0.89578,              0.0002765,              0.0002765,              0.0002765
                    239,                0.36378,                0.22043,                0.82195,                      1,                      1,                  0.995,                0.99028,                0.13971,                0.12326,                0.89597,             0.00027237,             0.00027237,             0.00027237
                    240,                0.34995,                0.21331,                0.82457,                0.99889,                      1,                  0.995,                0.98698,                0.14154,                0.11236,                0.89515,             0.00026825,             0.00026825,             0.00026825
                    241,                0.32916,                0.20821,                0.81359,                0.99776,                      1,                  0.995,                0.99208,                0.14792,                0.11149,                0.89652,             0.00026413,             0.00026413,             0.00026413
                    242,                0.32909,                0.20524,                0.81004,                0.99802,                      1,                  0.995,                 0.9927,                0.14327,                0.11529,                0.89591,                0.00026,                0.00026,                0.00026
                    243,                0.35125,                0.21352,                 0.8132,                 0.9988,                      1,                  0.995,                0.99353,                0.15418,                0.12968,                0.89567,             0.00025587,             0.00025587,             0.00025587
                    244,                0.35498,                0.21773,                0.81232,                0.99866,                      1,                  0.995,                0.99286,                0.13593,                0.11096,                0.89489,             0.00025175,             0.00025175,             0.00025175
                    245,                0.35731,                0.21651,                0.81604,                0.99945,                      1,                  0.995,                0.99112,                0.15001,                0.11529,                0.89691,             0.00024762,             0.00024762,             0.00024762
                    246,                 0.3498,                0.21199,                0.81448,                0.99793,                      1,                  0.995,                0.99301,                0.13048,                0.10984,                 0.8958,              0.0002435,              0.0002435,              0.0002435
                    247,                0.34464,                0.21596,                0.81166,                0.99876,                      1,                  0.995,                0.98922,                0.14602,                0.12474,                0.89657,             0.00023938,             0.00023938,             0.00023938
                    248,                 0.3426,                0.21319,                0.81393,                0.99928,                      1,                  0.995,                0.99101,                0.14246,                0.11563,                0.89557,             0.00023525,             0.00023525,             0.00023525
                    249,                0.34738,                0.21389,                0.81585,                0.99917,                      1,                  0.995,                0.99335,                0.14823,                0.12593,                0.89525,             0.00023112,             0.00023112,             0.00023112
                    250,                 0.3452,                0.21493,                0.81461,                0.99862,                      1,                  0.995,                0.99276,                0.13563,                 0.1063,                 0.8956,               0.000227,               0.000227,               0.000227
                    251,                0.34428,                0.21048,                0.81247,                0.99919,                      1,                  0.995,                0.99005,                0.13342,                0.10582,                 0.8952,             0.00022288,             0.00022288,             0.00022288
                    252,                0.35068,                0.21306,                0.81577,                      1,                      1,                  0.995,                0.99103,                0.15334,                0.11762,                0.89487,             0.00021875,             0.00021875,             0.00021875
                    253,                0.33116,                 0.2054,                0.79419,                0.99864,                      1,                  0.995,                0.99194,                0.14183,                0.11758,                 0.8954,             0.00021462,             0.00021462,             0.00021462
                    254,                0.34324,                0.20779,                0.81613,                0.99869,                      1,                  0.995,                0.99197,                0.14734,                0.12232,                0.89587,              0.0002105,              0.0002105,              0.0002105
                    255,                0.35271,                0.21687,                 0.8112,                0.99868,                      1,                  0.995,                0.99207,                0.13449,                0.11469,                0.89466,             0.00020637,             0.00020637,             0.00020637
                    256,                0.31556,                0.20218,                0.80555,                0.99946,                      1,                  0.995,                0.99091,                0.12657,                0.11613,                 0.8947,             0.00020225,             0.00020225,             0.00020225
                    257,                0.34322,                 0.2042,                 0.8095,                0.99861,                      1,                  0.995,                0.99364,                0.12334,                0.11206,                0.89441,             0.00019813,             0.00019813,             0.00019813
                    258,                0.34535,                0.21025,                 0.8143,                0.99946,                      1,                  0.995,                0.99339,                0.14129,                0.11936,                0.89464,               0.000194,               0.000194,               0.000194
                    259,                0.34063,                0.20546,                0.81971,                      1,                      1,                  0.995,                0.99214,                0.14097,                0.11292,                0.89559,             0.00018987,             0.00018987,             0.00018987
                    260,                0.33055,                0.20715,                0.81259,                      1,                      1,                  0.995,                0.99267,                0.12838,                0.10711,                0.89439,             0.00018575,             0.00018575,             0.00018575
                    261,                0.31945,                0.20104,                0.79706,                0.99918,                      1,                  0.995,                0.99249,                0.13295,                0.11039,                  0.896,             0.00018163,             0.00018163,             0.00018163
                    262,                0.32753,                 0.2043,                0.81449,                0.99937,                      1,                  0.995,                0.99223,                0.13277,                0.11115,                0.89464,              0.0001775,              0.0001775,              0.0001775
                    263,                0.32161,                 0.2013,                0.80027,                0.99946,                      1,                  0.995,                0.99264,                0.13939,                0.11941,                0.89607,             0.00017338,             0.00017338,             0.00017338
                    264,                0.31802,                0.19774,                 0.8101,                0.99788,                      1,                  0.995,                 0.9918,                0.13697,                0.11142,                0.89539,             0.00016925,             0.00016925,             0.00016925
                    265,                0.33167,                0.20373,                0.80757,                0.99866,                      1,                  0.995,                0.99058,                 0.1282,                0.10588,                0.89496,             0.00016512,             0.00016512,             0.00016512
                    266,                 0.3427,                0.21066,                 0.8132,                      1,                      1,                  0.995,                0.99223,                0.14089,                0.12158,                0.89619,               0.000161,               0.000161,               0.000161
                    267,                0.32878,                0.19997,                0.80617,                      1,                      1,                  0.995,                0.99218,                0.13042,                0.11132,                0.89429,             0.00015688,             0.00015688,             0.00015688
                    268,                0.32385,                0.19953,                0.81309,                0.99875,                      1,                  0.995,                0.99233,                0.12572,                0.11124,                0.89321,             0.00015275,             0.00015275,             0.00015275
                    269,                 0.3236,                 0.1979,                0.80538,                0.99865,                      1,                  0.995,                0.99387,                0.12433,                0.10468,                0.89338,             0.00014862,             0.00014862,             0.00014862
                    270,                0.32994,                 0.2004,                0.80763,                0.99877,                      1,                  0.995,                0.99364,                0.12016,                0.09723,                0.89343,              0.0001445,              0.0001445,              0.0001445
                    271,                0.32133,                0.19776,                0.81285,                0.99946,                      1,                  0.995,                0.99292,                0.12308,                0.10313,                0.89389,             0.00014038,             0.00014038,             0.00014038
                    272,                0.33602,                0.20104,                0.81061,                0.99891,                      1,                  0.995,                0.99009,                0.12487,                0.10219,                0.89421,             0.00013625,             0.00013625,             0.00013625
                    273,                0.30588,                0.19294,                0.80591,                 0.9991,                      1,                  0.995,                0.99289,                0.12069,                0.09441,                0.89445,             0.00013212,             0.00013212,             0.00013212
                    274,                0.31615,                0.19532,                0.80556,                0.99923,                      1,                  0.995,                0.99228,                0.13082,                0.10462,                0.89524,               0.000128,               0.000128,               0.000128
                    275,                0.32339,                0.20026,                0.81063,                0.99919,                      1,                  0.995,                0.99261,                0.12531,                0.11005,                0.89434,             0.00012387,             0.00012387,             0.00012387
                    276,                 0.3085,                0.19384,                0.79956,                0.99936,                      1,                  0.995,                0.99247,                0.11869,                0.09635,                 0.8945,             0.00011975,             0.00011975,             0.00011975
                    277,                  0.322,                0.19489,                0.81743,                0.99936,                      1,                  0.995,                0.99115,                0.12301,                0.10897,                0.89489,             0.00011563,             0.00011563,             0.00011563
                    278,                0.32747,                0.19815,                0.81679,                0.99791,                      1,                  0.995,                 0.9927,                 0.1262,                0.10401,                 0.8949,              0.0001115,              0.0001115,              0.0001115
                    279,                 0.3244,                0.19857,                0.81092,                0.99807,                      1,                  0.995,                0.99239,                0.12692,                0.10945,                0.89489,             0.00010737,             0.00010737,             0.00010737
                    280,                0.30717,                0.19114,                0.79949,                0.99855,                      1,                  0.995,                0.99249,                 0.1245,                0.10713,                0.89524,             0.00010325,             0.00010325,             0.00010325
                    281,                0.32453,                0.19834,                0.80276,                0.99927,                      1,                  0.995,                0.99116,                 0.1246,                0.10867,                0.89471,             9.9125e-05,             9.9125e-05,             9.9125e-05
                    282,                0.30435,                0.19025,                0.80547,                0.99929,                      1,                  0.995,                0.99238,                 0.1205,                0.10208,                 0.8943,                9.5e-05,                9.5e-05,                9.5e-05
                    283,                0.30847,                0.18983,                0.80581,                0.99934,                      1,                  0.995,                0.99109,                0.12564,                0.11154,                0.89456,             9.0875e-05,             9.0875e-05,             9.0875e-05
                    284,                0.30513,                0.19405,                0.80198,                0.99936,                      1,                  0.995,                0.99249,                0.12186,                0.10359,                0.89339,              8.675e-05,              8.675e-05,              8.675e-05
                    285,                 0.3174,                0.19295,                0.81394,                0.99845,                      1,                  0.995,                0.99238,                0.11364,                0.09717,                0.89317,             8.2625e-05,             8.2625e-05,             8.2625e-05
                    286,                0.30582,                0.18934,                0.79968,                0.99849,                      1,                  0.995,                0.99263,                0.12384,                 0.1053,                0.89371,               7.85e-05,               7.85e-05,               7.85e-05
                    287,                0.30441,                0.18632,                0.80212,                0.99839,                      1,                  0.995,                0.99239,                0.12583,                0.10559,                 0.8943,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    288,                0.30182,                0.18809,                0.81184,                0.99929,                      1,                  0.995,                0.99135,                0.12213,                0.10234,                0.89468,              7.025e-05,              7.025e-05,              7.025e-05
                    289,                0.31446,                 0.1916,                0.81113,                0.99845,                      1,                  0.995,                 0.9926,                0.13353,                0.10547,                0.89586,             6.6125e-05,             6.6125e-05,             6.6125e-05
                    290,                0.29577,                0.18329,                0.81407,                0.99929,                      1,                  0.995,                0.99295,                0.12437,                0.10419,                0.89542,                6.2e-05,                6.2e-05,                6.2e-05
                    291,                0.29699,                0.18576,                0.80849,                0.99929,                      1,                  0.995,                0.99211,                0.13243,                0.10927,                0.89558,             5.7875e-05,             5.7875e-05,             5.7875e-05
                    292,                0.31165,                0.19316,                0.79527,                0.99799,                      1,                  0.995,                0.99272,                0.13392,                0.11295,                0.89506,              5.375e-05,              5.375e-05,              5.375e-05
                    293,                0.30993,                0.19998,                 0.8186,                0.99799,                      1,                  0.995,                0.99387,                0.13108,                0.10817,                 0.8949,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    294,                0.30362,                0.19267,                0.80123,                0.99882,                      1,                  0.995,                0.99408,                0.13106,                0.10263,                0.89494,               4.55e-05,               4.55e-05,               4.55e-05
                    295,                0.29216,                0.18608,                0.80436,                0.99881,                      1,                  0.995,                 0.9905,                0.13108,                 0.1055,                0.89508,             4.1375e-05,             4.1375e-05,             4.1375e-05
                    296,                0.29894,                0.18863,                0.80427,                0.99882,                      1,                  0.995,                0.99073,                0.12723,                0.10475,                0.89473,              3.725e-05,              3.725e-05,              3.725e-05
                    297,                0.30473,                0.19264,                0.81278,                0.99936,                      1,                  0.995,                0.99052,                0.12784,                0.10547,                 0.8943,             3.3125e-05,             3.3125e-05,             3.3125e-05
                    298,                0.30127,                0.18913,                0.79697,                0.99934,                      1,                  0.995,                0.99281,                  0.129,                0.10393,                0.89391,                2.9e-05,                2.9e-05,                2.9e-05
                    299,                0.29735,                0.19282,                0.80856,                0.99935,                      1,                  0.995,                0.99188,                0.12679,                0.10227,                0.89393,             2.4875e-05,             2.4875e-05,             2.4875e-05
                    300,                0.31551,                0.19699,                0.80134,                0.99935,                      1,                  0.995,                 0.9907,                0.12729,                0.10256,                0.89453,              2.075e-05,              2.075e-05,              2.075e-05
